Facility Name,Sender ID
Ahmad Hassan Fikry MC,MF1011
AL AHLIA HOSPITAL COMPANY - WLL,MF23
AL AHLIA - BRANCH 1,MF3107
AL AHLIA - PHARMACY ,PF2662
AL AMEEN MEDICAL CENTRE,MF44
AL BIRAA ARTHRITIS & BONE CLINIC,DHA-F-0047737
AL FARHAN MEDICAL CENTRE. L L C [ MAIN ],MF105
AL FARHAN MEDICAL CENTRE. L L C [ BRANCH ],MF2195
Al Hikmah Specialized Medical,MOHM1526
AL MARIA MEDICAL CENTRE,MF1553
AL NOOR  MEDICAL COMPANY - AL NOOR  HOSPITAL,MF118
AL REYADA  MEDICAL CENTRE,MF1830
Al Wathba New Medical Centre,MF696
AL WATHBA MEDICAL CENTRE,MF152
GOLDEN CARE MEDICAL CENTER,MF304
Ambulance and Public Safety Department,MF2504
Emergency & Public Safety Department - Motor Vehicles,MVA-MF2504-C
AMERICAN CENTER FOR PSYCHIATRY & NEUROLOGY,MF2309
AMERICAN EXCELLANCE MEDICAL AND DENTAL CENTER,DHA-F-0047259
AMERICAN EXCELLENCE MEDICAL AND DENTAL CENTER,MF2553
AMRITA MIDICAL CENTRE,MF1124
AMWAJ MEDICAL CENTER,MF844
BASEL MEDICAL CENTRE,MF187
BIN SULAIMAN MEDICAL CENTRE,MF466
CORPOFINO DERMATOLOGY CLINIC L L C,MF3026
DR KHALID ALJAMAL MEDICAL CENTER,MF310
EMIRATES FRENCH HOSPITAL L.L.C,MF104
EMIRATES HEART CENTRE,MF2353
GULF INTERNATIONAL CANCER CENTER,MF1992
HARLEY STREET MEDICAL CENTRE,MF3002
HARLEY STREET PHARMACY L.L.C,PF1763
IBN AL NAFIS MEDICAL CENTRE,MF1047
LIFE MEDICAL CENTRE,MF771
MEDICAL LASER CENTER-DENTAL,MF823
Medical Services Administration of Abu Dhabi Police GHQ,MF2125
Medical Services Administration of Abu Dhabi Police GHQ - Pharmacy,PF1510
Oriana Hospital,MOHM2566
ORIANA PHARMACY,MOH1803
ORIANA HOSPITAL FOR ONE DAY SURGERY,MOH6535
PROFICIENCY CENTRAL LOBORATORIES,MF3060
SAUDI GERMAN HOSPITAL - DUBAI,DHA-F-0046775
SAUDI GERMAN HOSPITAL - PHARMACY,DHA-F-0000792
SPECIALIZED MEDICAL CARE HOSPITAL,MF464
SPECIALIZED MEDICAL CARE HOSPITAL - PHARMACY,PF1265
The Doctors Medical Center L.L.C,MF3255
ULTRA CARE MEDICAL CENTER L.L.C,MF1985
Via Medica International Health Care L.L.C - Homecare,MF3246
WELL CARE MEDICAL CENTER,MF1566
NEURO SPINAL HOSPITAL,DHA-F-0046260
NEURO SPINAL HOSPITAL - PHARMACY,DHA-F-0000686
DUBAI OPTICAL GROUP - AJMAN,MOHM1533
DUBAI OPTICAL GROUP - MEGA,MOHI1394
DUBAI OPTICAL GROUP - DEIRA CC,DHA-F-0045991
DUBAI OPTICAL GROUP - DUBAI MALL,DHA-F-0047526
DUBAI OPTICAL GROUP - EMIRATES MALL,DHA-F-0047060
DUBAI OPTICAL GROUP - DUBAI FESTIVAL CITY,DHA-F-0047336
DUBAI OPTICAL GROUP - IBN BATTUTA,DHA-F-0046961
DUBAI OPTICAL GROUP - MIRDIFF CC,DHA-F-0047828
DUBAI OPTICAL GROUP - PALM STRIP,DHA-F-0046616
DUBAI OPTICAL GROUP - DUBAI OUTLET,DHA-F-0047428
DUBAI OPTICAL GROUP - KHALEEJ,DHA-F-0045988
GERMAN NEUROSCIENCE CENTER FZ-LLC,CL-MC-0048-11
RETAJ MEDICAL CENTER,MOH5222
RAK DIABETES CENTER,DHA-F-0001372
SHARIF EYE CENTER FZ-LLC,CL-PP-0038-08
OPEN M R I FOR SPINE SURGERY,DHA-F-0047265
OPEN MRI FOR SPINE SURGERY-ABU DHABI BRANCH,MF3176
ELYZEE DAY SURGERY MEDICAL CENTER L.L.C.,MF3577
ENJAB HOSPITAL FOR DAY CARE,MOHM1473
ENJAB MEDICAL CENTER,MOH-F-1000179
INTERCARE HEALTH CENTER,MF4061
AL SOHOOL ORTHODONTIC & DENTAL CENTRE,DHA-F-0046553
SHAIKH MAKHTOUM BIN HAMDAN DENTAL CENTER,DHA-F-0000155
WESTERN ORTHODONTIC & DENTAL CENTRE,DHA-F-0047473
AL SEHOUL DENTAL CENTRE,MOHM1906
AMERICAN EUROPEAN MEDICAL CENTER,MF1913
NEURO SPINAL HOSPITAL - CORPORATE ACCOUNT,DHA-F-0046260-C
IRANIAN HOSPITAL - SATWA DUBAI,DHA-F-0046392
IRANIAN HOSPITAL DUBAI,DHA-F-0001219
SAFA CLINIC IRANIAN HOSPITAL DUBAI,DHA-F-0001288
ALDAS MEDICAL CLINIC,DHA-F-0000419
CEDARS - JEBEL ALI INTERNATIONAL HOSPITAL,DHA-F-0045696
Cedars Clinic,DHA-F-0001491
RAK MEDICAL CENTER - AL HAMRA,MOH7026
CPS CLINICAL PATHOLOGY SERVICES,DHA-F-0046344
BIO TECH MEDICAL LAB - SHJ,MOH-F-1000130
BIO TECH MEDICAL LAB - RAK,MOH-F-1000128
MENA LABS MEDICAL LABORATORY LLC - AD,MF4829
BIOTECH DIAGNOSTIC CENTRE MEDICAL LABORATORY - AAN,MF2282
IBS LABORATORIES FOR RESEARCH AND MEDICAL ANALYSIS,DHA-F-0000331
DUBAI CORPORATION OF AMBULANCE SERVICES (DCAS),DHA-F-0000687
VALIANT HEALTHCARE LLC,DHA-F-0001785
VALIANT HEALTHCARE L.L.C (HOSPITAL),DHA-F-0002571
MENA LABS MEDICAL LABORATORY - MOH,MOH6310
UNIVERSAL MEDICAL LABORATORY,MOHM2230
SHEIKH KHALIFA HOSPITAL MASFOUT,MOH-F-0060019
RASHID CENTER FOR DIABETES AND RESEARCH,MOH-F-0060020
SHEIKH KHALIFA MATERNITY AND PEDIATRIC HOSPITAL,MOH-F-0060021
SHEIKH KHALIFA HOSPITAL IN AJMAN,MOH-F-0060022
SHEIKH KHALIFA MATERNITY AND PEDIATRIC HOSPITAL PHARMACY,MOH-F-5000752
RASHID CENTER FOR DIABETES AND RESEARCH PHARMACY,MOH-F-5000753
SHEIKH KHALIFA HOSPITAL PHARMACY - AJMAN,MOH-F-5000754
SHEIKH KHALIFA HOSPITAL MASFOUT PHARMACY,MOH-F-5000755
SHEIKH KHALIFA SPECIALITY HOSPITAL RAK,MOH5168
SHEIKH KHALIFA SPECIALITY HOSPITAL RAK - PHARMACY,MOH-F-5000547
SHEIKH KHALIFA GENERAL HOSPITAL - UAQ,MOH-F-1000342
SHEIKH KHALIFA GENERAL HOSPITAL UAQ - PHARMACY,MOH-F-5000546
MENA LABS MEDICAL LABORATORY LLC,MOH-F-1000302
Mena Labs Medical Laboratory .LLC,6310
AL SALAMA HOSPITAL,MF131
AL SALAMA ONE DAY SURGERY CENTER,MF2398
AL SALAMA MEDICAL CENTER,MF93
NATIONAL REFERENCE LABORATORY LLC - Abudhabi,MF2342
NATIONAL REFERENCE LABORATORY LLC - Dubai,DHA-F-0047761
Sheikh Khalifa General Hospital Ajman,7152
Sheikh Khalifa Women and Children Ajman,7153
SKGHMASFOUT,7155
Rashid Center for Diabetes and Research,7156
Sheikh Khalifa General Hospital Ajman Pharmacy,1610
Sheikh Khalifa Women and Children Ajman Pharmacy,1612
SKH Hospital - Masfout Pharmacy,1611
Rashid Center for Diabetes and Research Pharmacy,1613
Sheikh Khalifa Speciality Hospital,5168
Sheikh Khalifa Specialty Hospital - Pharmacy,1818
Sheikh Khalifa General Hospital - UAQ,5401
Sheikh Khalifa General Hospital - UAQ Ph,2054